 Subject|  803401|  803402|  803403|  803404|  803405|  803406|  803407|  803408|  803409|  803410|  803500|  803601|  803602|  803603|  803604|  803605|  803606|  803607|  803608|  803609|  803610|  Amount|
  802101|  0.1000|  0.3000|  0.0000|  0.0000|  0.0000|  0.0000|  0.0000|  0.0000|  0.0000|  0.0000|  0.1000|  0.3000|  0.1000|  0.1000|  0.0000|  0.0000|  0.0000|  0.0000|  0.0000|  0.0000|  0.0000|       0|
  802506|  0.1713|  0.1049|  0.0909|  0.0280|  0.0280|  0.0035|  0.0070|  0.0035|  0.0000|  0.0105|  0.0210|  0.1923|  0.1189|  0.0944|  0.0559|  0.0315|  0.0140|  0.0000|  0.0175|  0.0035|  0.0035|       0|
  802601|  0.1272|  0.0967|  0.0840|  0.0483|  0.0356|  0.0153|  0.0051|  0.0076|  0.0051|  0.0153|  0.0204|  0.1654|  0.1323|  0.1120|  0.0585|  0.0305|  0.0153|  0.0102|  0.0076|  0.0025|  0.0051|       0|
  802404|  0.1313|  0.1125|  0.0813|  0.0469|  0.0187|  0.0156|  0.0156|  0.0031|  0.0031|  0.0094|  0.0125|  0.1844|  0.1281|  0.0906|  0.0813|  0.0250|  0.0125|  0.0094|  0.0063|  0.0063|  0.0063|       0|
 ProbSum|  0.1324|  0.1535|  0.0640|  0.0308|  0.0206|  0.0086|  0.0069|  0.0036|  0.0021|  0.0088|  0.0385|  0.2105|  0.1198|  0.0993|  0.0489|  0.0217|  0.0105|  0.0049|  0.0078|  0.0031|  0.0037|       0|
